name,r,alpha,targets,lr,per_device_bs,grad_accum,eff_batch,epochs,trainable_params,trainable_pct,final_train_loss,eval_loss,bleu,chrf,rougeL,bertscore_p,bertscore_r,bertscore_f1,combined,bleu_easy,bleu_medium,bleu_harder,bertf1_easy,bertf1_medium,bertf1_harder,avg_pred_words,peak_gpu_gb,train_time_s,adapter_dir
sft1,8,16,"q_proj,v_proj",0.0002,4,1,4,1,1146880,0.192,1.6335,1.6383,10.161,27.489,22.498,-11.264,46.581,15.95,26.111,7.151,13.966,1.759,16.768,17.715,9.835,118.3,9.81,396.4,/kaggle/working/sft1
sft2,16,32,"q_proj,k_proj,v_proj,o_proj",0.0002,4,2,8,2,4587520,0.7638,1.6207,1.6284,11.251,18.841,24.349,-59.683,42.986,-14.848,-3.597,15.655,13.052,1.445,-4.115,-26.484,9.326,92.4,10.41,825.1,/kaggle/working/sft2
sft3,32,64,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0001,2,4,8,2,20185088,3.2756,1.5539,1.6275,8.032,26.01,26.192,-24.351,45.865,7.755,15.788,8.964,9.895,1.514,9.905,5.496,12.385,96.4,8.91,889.7,/kaggle/working/sft3
sft4,16,32,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",0.0003,4,4,16,1,10092544,1.665,1.6536,1.6297,14.398,35.779,33.564,-8.811,49.947,18.47,32.868,16.509,17.958,1.606,31.313,17.077,9.808,80.2,11.39,483.1,/kaggle/working/sft4
sft5,64,128,"q_proj,k_proj,v_proj,o_proj,gate_proj,up_proj,down_proj",5e-05,2,8,16,3,40370176,6.3433,1.4838,1.6368,14.249,36.935,35.113,-10.952,52.223,18.121,32.37,12.032,19.229,1.525,26.65,18.253,9.198,60.4,9.15,1322.0,/kaggle/working/sft5
