trial,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_mean_token_accuracy,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
sft1,2.1222660827636717,0.8055105209350586,0.00019983011763899673,2.0503110027313234,31665.0,0.5775701856613159,0.05,25,,,,,,,,,,,,
sft1,1.7924491882324218,0.5967382192611694,0.00019758460594972068,1.8382305002212525,64046.0,0.6198765206336975,0.1,50,,,,,,,,,,,,
sft1,1.631807861328125,0.6412555575370789,0.00019278563861498723,1.6415007019042969,96242.0,0.6301357197761536,0.15,75,,,,,,,,,,,,
sft1,1.6591844177246093,0.6854366660118103,0.00018555878820963013,1.6650297117233277,129199.0,0.6258357763290405,0.2,100,,,,,,,,,,,,
sft1,1.6058349609375,0.4875730276107788,0.0001760931567112291,1.626007170677185,161218.0,0.6345342206954956,0.25,125,,,,,,,,,,,,
sft1,1.6120147705078125,0.5007817149162292,0.0001646364273476067,1.6139224767684937,195000.0,0.6330426859855652,0.3,150,,,,,,,,,,,,
sft1,1.7030165100097656,0.5734963417053223,0.00015148838357320537,1.7133150100708008,230740.0,0.6193600869178773,0.35,175,,,,,,,,,,,,
sft1,1.5821437072753906,0.46957504749298096,0.0001369930647605852,1.5923438310623168,262927.0,0.6353109240531921,0.4,200,,,,,,,,,,,,
sft1,1.6469778442382812,0.5194747447967529,0.0001215297638657875,1.644717903137207,293353.0,0.6302987575531006,0.45,225,,,,,,,,,,,,
sft1,1.627354736328125,0.46319839358329773,0.00010550310262789649,1.6600534582138062,325746.0,0.6282064414024353,0.5,250,,,,,,,,,,,,
sft1,1.7241011047363282,0.5226384401321411,8.933244400090937e-05,1.7354209852218627,358196.0,0.6221175861358642,0.55,275,,,,,,,,,,,,
sft1,1.7390155029296874,0.5088727474212646,7.344091885838948e-05,1.7544525146484375,390788.0,0.6135486316680908,0.6,300,,,,,,,,,,,,
sft1,1.6315885925292968,0.4682600796222687,5.82443541045415e-05,1.632519702911377,422510.0,0.6268475246429444,0.65,325,,,,,,,,,,,,
sft1,1.6546092224121094,0.4713704288005829,4.414039190520308e-05,1.6669360828399657,456131.0,0.6233966374397277,0.7,350,,,,,,,,,,,,
sft1,1.6444569396972657,0.527644157409668,3.149808475129452e-05,1.6529686212539674,490401.0,0.6262650084495545,0.75,375,,,,,,,,,,,,
sft1,1.67903564453125,0.4978923797607422,2.0648238616356332e-05,1.697829976081848,521658.0,0.6228115463256836,0.8,400,,,,,,,,,,,,
sft1,1.6572674560546874,0.9182864427566528,1.1874756894740135e-05,1.6815096378326415,554135.0,0.6251963710784912,0.85,425,,,,,,,,,,,,
sft1,1.5875004577636718,0.5215517282485962,5.407211620009544e-06,1.6024687385559082,586613.0,0.6384021711349487,0.9,450,,,,,,,,,,,,
sft1,1.758702392578125,0.5892768502235413,1.4148363493766802e-06,1.760338201522827,618943.0,0.6163652205467224,0.95,475,,,,,,,,,,,,
sft1,1.6334764099121093,0.4283129572868347,2.0978998601206556e-09,1.6343199348449706,651598.0,0.6277528667449951,1.0,500,,,,,,,,,,,,
sft1,,,,,,,1.0,500,1.6383304595947266,26.1805,11.459,1.451,1.6706869163011249,651598.0,0.6270171482312051,,,,,
sft1,,,,,,,1.0,500,,,,,,,,360.2412,5.552,1.388,2315274443292672.0,1.6846401901245118
sft1,,,,,,,1.0,500,1.6383304595947266,26.2226,11.441,1.449,1.6706869163011249,651598.0,0.6270171482312051,,,,,
sft2,2.000418853759766,0.7162382006645203,0.00019983011763899673,1.9664578700065614,64046.0,0.5947567176818848,0.1,25,,,,,,,,,,,,
sft2,1.6537875366210937,0.5112003684043884,0.00019758460594972068,1.6591281723976135,129199.0,0.6263238120079041,0.2,50,,,,,,,,,,,,
sft2,1.6077059936523437,0.4677138328552246,0.00019278563861498723,1.6182585597038268,195000.0,0.6334993493556976,0.3,75,,,,,,,,,,,,
sft2,1.6412405395507812,0.4495421051979065,0.00018555878820963013,1.6560314464569093,262927.0,0.6271151733398438,0.4,100,,,,,,,,,,,,
sft2,1.6268806457519531,0.40051835775375366,0.0001760931567112291,1.6523220324516297,325746.0,0.6297553038597107,0.5,125,,,,,,,,,,,,
sft2,1.7342884826660157,0.5296763181686401,0.0001646364273476067,1.7388951563835144,390788.0,0.6182204818725586,0.6,150,,,,,,,,,,,,
sft2,1.64113525390625,0.4372466802597046,0.00015148838357320537,1.6479905772209167,456131.0,0.6250592052936554,0.7,175,,,,,,,,,,,,
