name,beta,lr,per_device_bs,grad_accum,eff_batch,epochs,trainable_params,trainable_pct,final_train_loss,eval_loss,reward_accuracy,reward_margin,bleu,chrf,rougeL,bertscore_p,bertscore_r,bertscore_f1,combined,bleu_easy,bleu_medium,bleu_harder,bertf1_easy,bertf1_medium,bertf1_harder,avg_pred_words,peak_gpu_gb,train_time_s,adapter_dir
dpo1,0.1,5e-05,1,4,4,1,4587520,0.7638,0.7159,0.621,0.6633,0.8733,8.103,20.055,16.874,-32.733,41.632,0.89,8.993,8.832,10.247,0.943,18.302,-2.606,-6.036,94.8,7.16,1241.7,/kaggle/working/dpo1
dpo2,0.1,1e-05,1,8,8,1,4587520,0.7638,0.6237,0.6032,0.6567,0.3074,14.688,38.604,35.42,-3.928,53.708,22.875,37.563,16.345,17.961,3.213,29.987,20.087,24.128,55.9,7.16,1244.4,/kaggle/working/dpo2
dpo3,0.3,5e-06,1,8,8,2,4587520,0.7638,0.4742,0.5712,0.6767,0.5555,14.547,37.035,34.52,-7.677,51.048,19.534,34.081,16.575,17.958,2.286,31.564,16.809,15.677,68.9,7.16,2381.6,/kaggle/working/dpo3
dpo4,0.05,5e-05,1,16,16,1,4587520,0.7638,0.6268,0.6075,0.6433,0.4523,10.759,30.166,26.146,-20.884,49.34,11.123,21.882,9.006,14.411,1.559,18.289,7.63,14.434,71.6,7.16,1243.7,/kaggle/working/dpo4
dpo5,0.5,1e-06,1,16,16,2,4587520,0.7638,0.6218,0.6272,0.65,0.173,14.304,35.852,33.774,-9.532,50.355,18.189,32.494,16.509,17.958,1.14,31.313,17.217,7.982,76.6,7.16,2382.1,/kaggle/working/dpo5
