trial,loss,grad_norm,learning_rate,entropy,num_tokens,logits/chosen,logits/rejected,mean_token_accuracy,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_entropy,eval_num_tokens,eval_logits/chosen,eval_logits/rejected,eval_mean_token_accuracy,eval_rewards/chosen,eval_rewards/rejected,eval_rewards/accuracies,eval_rewards/margins,eval_logps/chosen,eval_logps/rejected,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
dpo1,0.6860099792480469,14.430695533752441,4.8e-05,1.140328621864319,73146.0,0.2900638348656982,0.24002004630678705,0.6056503826379775,0.018882906265207566,0.003060169224627316,0.5,0.015822737351991235,-266.6087859535217,-259.714934425354,0.05,25,,,,,,,,,,,,,,,,,,,,
dpo1,0.6144649505615234,9.160515785217285,4.968570827238764e-05,1.257920101583004,145908.0,0.14047791327565043,0.35933958323806003,0.6167919801920653,0.05899544934509322,-0.14587827979907161,0.69,0.2048737287800759,-287.28577459335327,-288.89707374572754,0.1,50,,,,,,,,,,,,,,,,,,,,
dpo1,0.5809716415405274,8.5430269241333,4.8698601564437675e-05,1.4217475280165672,209617.0,0.3421267295610534,0.641206236859162,0.6071246901154518,-0.14258904179558157,-0.7251937562879175,0.7,0.5826047157868743,-294.6553863143921,-270.89738933563234,0.15,75,,,,,,,,,,,,,,,,,,,,
dpo1,0.6518058013916016,8.473567008972168,4.7065058783453424e-05,1.3224253225326539,288412.0,0.29072733387784483,0.41637436441212317,0.6007492342591285,-0.25102593265939505,-0.6621865947172045,0.56,0.41116066217422487,-299.1745966720581,-269.84751134872437,0.2,100,,,,,,,,,,,,,,,,,,,,
dpo1,0.6198620986938477,20.48036003112793,4.4829638718171954e-05,1.2050868752598762,359627.0,-0.017277560906578254,0.25445157642370997,0.609594713151455,-0.5508847309334669,-1.2094063433632254,0.61,0.6585216165706516,-270.9739210128784,-264.67189432144164,0.25,125,,,,,,,,,,,,,,,,,,,,
dpo1,0.6987061309814453,15.271562576293945,4.205331780066892e-05,1.2026033367216586,430265.0,0.07591919710834344,0.22132673383360985,0.6116489440202713,-0.3407805329468101,-0.7669841572549194,0.57,0.4262036274373531,-237.52739744186403,-236.64683820724488,0.3,150,,,,,,,,,,,,,,,,,,,,
dpo1,0.6589809417724609,19.902250289916992,3.8811826828245334e-05,1.2175966956466437,507409.0,0.03698681265338467,0.12232435900044919,0.5997701542079449,-0.24128542030928657,-0.6945906756352633,0.6,0.45330525998026133,-329.04279733657836,-270.24514205932616,0.35,175,,,,,,,,,,,,,,,,,,,,
dpo1,0.6135263442993164,16.422061920166016,3.519358522469259e-05,1.2858349698781968,573793.0,0.1400398233353499,0.12251227671273032,0.5870830354094505,-0.34767081395722926,-0.8806493210839108,0.59,0.5329785085469484,-284.92420372009275,-244.13449977874757,0.4,200,,,,,,,,,,,,,,,,,,,,
dpo1,0.47465049743652343,8.735176086425781,3.129728918890371e-05,1.2564259314537047,649485.0,0.1738369017253679,0.38861842439747024,0.6423832805454731,-0.4143907182198018,-1.3973842066223734,0.78,0.9829934891313314,-304.5479742240906,-282.3782787704468,0.45,225,,,,,,,,,,,,,,,,,,,,
dpo1,0.6479215240478515,4.790581703186035,2.722921951984927e-05,1.272117157280445,719087.0,-0.11333930935121328,0.2237283582741782,0.5748553878068924,-0.6945298098027706,-1.510105319749564,0.6,0.8155755096673966,-293.2358988189697,-261.1117631530762,0.5,250,,,,,,,,,,,,,,,,,,,,
dpo1,0.4823030090332031,6.524974822998047,2.3100342553434924e-05,1.2891365796327592,786478.0,0.014324433707826607,0.23172251744020803,0.6147675001621247,-0.7229683012887835,-1.72989846970886,0.72,1.0069301649928093,-267.7495616149902,-286.81920946121215,0.55,275,,,,,,,,,,,,,,,,,,,,
dpo1,0.6008364868164062,16.39370346069336,1.90232832901255e-05,1.1279157650470735,862255.0,-0.29273829601033285,-0.11145658826206174,0.587606166601181,-0.7480050851404667,-1.785411758646369,0.68,1.037406670898199,-316.0302732658386,-301.9645616531372,0.6,300,,,,,,,,,,,,,,,,,,,,
dpo1,0.5648258972167969,24.17656135559082,1.5109253278523799e-05,1.25297587454319,930258.0,-0.39521653346298896,-0.035391139777300504,0.5909314662218094,-0.7001888862904161,-1.9645090023428202,0.66,1.2643201072141528,-320.98839458465574,-286.7847062301636,0.65,325,,,,,,,,,,,,,,,,,,,,
dpo1,0.6528347778320313,34.49663162231445,1.146501705423155e-05,1.2210654163360595,998654.0,-0.32390637406195,0.03179938901587261,0.6007909789681435,-0.8802595489285886,-1.7983609135448932,0.66,0.9181013572216034,-305.72297796249387,-260.7684182929993,0.7,350,,,,,,,,,,,,,,,,,,,,
dpo1,0.7043595123291015,12.276288986206055,8.189979881632634e-06,1.1914316564798355,1068433.0,-0.08671041881084779,-0.09398701797554175,0.5934878519177437,-1.0599155724281446,-1.8630370773524918,0.61,0.8031214919686317,-283.67546655654905,-272.08410558700564,0.75,375,,,,,,,,,,,,,,,,,,,,
dpo1,0.6210854721069335,8.548013687133789,5.373476237410807e-06,1.1974163138866425,1140968.0,-0.11882835972088115,0.052083443859460433,0.6284478837251664,-1.0054560994356871,-1.7002763269515708,0.67,0.6948202291131019,-314.824889793396,-273.9622781562805,0.8,400,,,,,,,,,,,,,,,,,,,,
dpo1,0.6483578491210937,15.928428649902344,3.092332998903416e-06,1.2093658366799354,1211660.0,-0.18923920989248852,-0.03790793108466535,0.6356694030761719,-0.8736460367357358,-1.6372749803587794,0.71,0.7636289431154728,-301.36139905929565,-274.66257228851316,0.85,425,,,,,,,,,,,,,,,,,,,,
dpo1,0.6125193786621094,19.464340209960938,1.4087738071603075e-06,1.2648228627443314,1283869.0,-0.2100080193690006,-0.08324112849745587,0.6140783095359802,-0.858052568025887,-1.9315089115593582,0.63,1.073456352353096,-298.6104355430603,-298.04327917099,0.9,450,,,,,,,,,,,,,,,,,,,,
dpo1,0.5408164215087891,10.037179946899414,3.687217682209837e-07,1.1597616735100746,1357271.0,-0.08347714936334479,0.13557750197616314,0.5822743827104568,-0.7078804056998342,-1.6134908953867853,0.66,0.9056104866042733,-299.2401414108276,-269.0976352119446,0.95,475,,,,,,,,,,,,,,,,,,,,
dpo1,0.7159127807617187,28.284530639648438,5.467904943851077e-10,1.3308872473239899,1426635.0,0.016716084284722467,0.3257200392854744,0.5765534310042858,-0.9654785595741123,-1.6376136932335794,0.58,0.6721351404488086,-310.1073938179016,-269.9858082008362,1.0,500,,,,,,,,,,,,,,,,,,,,
dpo1,,,,,,,,,,,,,,,1.0,500,0.6209926605224609,92.1736,3.255,3.255,1.1853953827420871,1426635.0,-0.12474220167702851,-0.03221882121213014,0.6210741938153903,-0.8220429803865651,-1.6953785244965305,0.6633333333333333,0.8733355440820257,-308.8198512840271,-271.13600975672404,,,,,
dpo1,,,,,,,,,,,,,,,1.0,500,,,,,,,,,,,,,,,,1134.9624,1.762,0.441,4253087768248320.0,0.6195375747680664
dpo1,,,,,,,,,,,,,,,1.0,500,0.6209926605224609,92.3156,3.25,3.25,1.1853953827420871,1426635.0,-0.12474220167702851,-0.03221882121213014,0.6210741938153903,-0.8220429803865651,-1.6953785244965305,0.6633333333333333,0.8733355440820257,-308.8198512840271,-271.13600975672404,,,,,
dpo2,0.6866570281982421,9.028400421142578,9.946941028620349e-06,1.1943482124805451,145908.0,0.22396958202543074,0.30010829231789027,0.6107694738730788,0.011432226361766879,-0.001959725399447052,0.54,0.013391951739031356,-277.2223497867584,-273.6115107917786,0.1,25,,,,,,,,,,,,,,,,,,,,
dpo2,0.66144287109375,10.143458366394043,9.44141306374566e-06,1.3577054896950722,288412.0,0.39370647844042567,0.5644164497408038,0.6053448662161827,0.038247945233888456,-0.034024680092115886,0.635,0.07227262492990122,-294.5644372177124,-263.7757954883575,0.2,50,,,,,,,,,,,,,,,,,,,,
dpo2,0.6499893188476562,8.720293045043945,8.452574789164352e-06,1.2288656061887742,430265.0,0.24399234814617948,0.42435739874002104,0.6150837286561728,0.0075014232146349965,-0.10357522701859125,0.62,0.1110766500607133,-249.71731880187988,-241.81316617012024,0.3,75,,,,,,,,,,,,,,,,,,,,
